SR_PARSED_PRICE,COMP_TITLE_LENGTH,COMP_DESCRIPTION_LENGTH,COMP_VIDEO_COUNT,COMP_IMG_COUNT,COMP_HAS_RICH_CONTENT,RETAIL_SALES_VALUE,SEARCH_TERM_IN_NAME,SEARCH_TERM_IN_DESC,SEARCH_TERM_COUNT_IN_NAME,SEARCH_TERM_COUNT_IN_DESC,SEARCH_TERM_FW_POS_IN_TITLE,Retailer_Margin,HOLIDAY_FLAG,FB_FEEDBACK_COMMENT_COUNT,FB_FEEDBACK_AVG_RATING,AV_OOS_AVAILABLE,AV_OOS_OOS,GROWTH_16_WEEK
5,38,325,0,4,0,1230,0,1,0,2,0,0.562616638,0,123,4.6,1,0,0.018278118
3,26,109,0,3,0,3318,0,0,0,0,2,-7.447371861,1,1,5,1,0,0.04434264
1.5,22,197,0,1,0,28497.2,0,0,0,0,3,0.433298481,1,6,4.2,1,0,0.061390178
0.99,33,531,0,1,0,7070.25,1,1,1,2,3,0,1,4,3,1,0,0.066403252
1.35,42,94,0,1,0,10980,0,0,0,0,5,0.428420486,0,68,4.4,1,0,0.051891942
1,33,307,0,1,0,4001.05,0,0,0,0,3,0,0,1,1,1,0,0.185931969
1.5,24,368,0,1,0,13945.9,0,0,0,0,4,0.321684614,1,6,4.8,1,0,0.038063855
1.99,33,244,0,1,0,7241.02,0,0,0,0,4,0.411749856,0,3,2.7,1,0,0.055550043
1.25,22,199,0,1,0,23120.5,0,1,0,1,0,0.421113249,0,4,4,1,0,0.062227406
3.5,32,92,0,1,0,11578.5,1,0,1,0,2,0.430566195,0,3,5,1,0,0.083382105
1.99,36,308,0,1,0,16849.36,0,0,0,0,2,0.281734488,1,2,4,1,0,0.070823369
1.25,29,360,0,1,0,5172.25,0,0,0,0,0,0.389205099,0,2,5,1,0,0.065126334
1.25,22,199,0,1,0,20595.4,0,0,0,0,3,0.436153111,0,4,4,1,0,0.040033926
3.5,32,92,0,1,0,11012,1,0,0,0,2,0.323251961,0,3,5,1,0,0.087434983
3.5,32,92,0,1,0,8477,1,0,0,0,2,0.57635442,0,3,5,1,0,0.106157811
1.65,33,271,0,1,0,5794,1,1,1,1,3,0.531471945,0,103,4.8,1,0,0.082015864
1.25,22,199,0,1,0,13614,0,0,0,0,3,0.430021379,0,5,4,1,0,0.04651755
3.5,23,289,0,4,0,5912.36,0,0,0,0,3,0.368469044,1,91,4.6,1,0,0.056978952
1.25,18,159,0,3,0,24818,0,0,0,0,3,0.443159879,0,3,2.3,1,0,0.061917511
3,30,366,0,1,0,9678,1,1,1,1,2,-1.824095892,1,13,3.7,1,0,0.038194688
1.75,53,197,0,1,0,1211,1,1,1,1,7,0.420569112,0,1,1,1,0,0.149456522
1.35,36,180,0,1,0,4466.4,0,0,0,0,0,0.389055075,1,3,5,1,0,0.087024676
1.99,36,308,0,1,0,15211.31,0,0,0,0,2,0.410727895,0,2,4,1,0,0.062969252
