SR_PARSED_PRICE,COMP_TITLE_LENGTH,COMP_DESCRIPTION_LENGTH,COMP_IMG_COUNT,RETAIL_SALES_VALUE,RETAIL_SALES_UNIT,SEARCH_TERM_IN_NAME,SEARCH_TERM_IN_DESC,SEARCH_TERM_COUNT_IN_NAME,SEARCH_TERM_COUNT_IN_DESC,SEARCH_TERM_FW_POS_IN_TITLE,Retailer_Margin,LAST_1_WEEK_SALES,LAST_2_WEEK_SALES,LAST_4_WEEK_SALES,LAST_8_WEEK_SALES,LAST_16_WEEK_SALES,HOLIDAY_FLAG,FB_FEEDBACK_COMMENT_COUNT,FB_FEEDBACK_AVG_RATING,AV_OOS
5.0,38,325,4,1230.0,246,0,1,0,2,0,0.562616637820512,516,868,7282,15240,19258,0,123.0,4.6,0
3.0,26,109,3,3318.0,1106,0,0,0,0,2,-7.44737186098654,2162,3188,8188,15923,23138,1,1.0,5.0,0
1.5,22,197,1,28497.2,18992,0,0,0,0,3,0.433298481267236,38256,55950,79870,148952,288222,1,6.0,4.2,0
0.99,33,531,1,7070.25,7110,1,1,1,2,3,0.0,21424,28432,41361,64612,105537,1,4.0,3.0,0
1.35,42,94,1,10980.0,8126,0,0,0,0,5,0.428420486080808,15904,22654,37130,67596,130078,0,68.0,4.4,0
1.0,33,307,1,4001.05,4000,0,0,0,0,3,0.0,8260,13092,20798,25988,25988,0,1.0,1.0,0
1.5,24,368,1,13945.9,9296,0,0,0,0,4,0.321684614038074,18096,27233,87617,162399,240044,1,6.0,4.8,0
1.99,33,244,1,7241.02,3631,0,0,0,0,4,0.411749856005025,6614,9973,17813,33225,60468,0,3.0,2.7,0
1.25,22,199,1,23120.5,18492,0,1,0,1,0,0.421113248690178,36230,53836,88544,158108,282930,0,4.0,4.0,0
3.5,32,92,1,11578.5,5784,1,0,1,0,2,0.430566194569885,10810,13232,17202,26019,29047,0,3.0,5.0,0
1.99,36,308,1,16849.36,8460,0,0,0,0,2,0.281734488094703,16245,24537,42092,75997,117080,1,2.0,4.0,0
1.25,29,360,1,5172.25,4133,0,0,0,0,0,0.389205098752343,8339,12677,20652,35216,66609,0,2.0,5.0,0
1.25,22,199,1,20595.4,16472,0,0,0,0,3,0.436153110736362,32502,47040,76604,130582,363142,0,4.0,4.0,0
3.5,32,92,1,11012.0,5026,1,0,0,0,2,0.323251961364107,7448,9482,13502,22059,23263,0,3.0,5.0,0
3.5,32,92,1,8477.0,2422,1,0,0,0,2,0.57635441979089,4456,6392,10657,17734,18237,0,3.0,5.0,0
1.65,33,271,1,5794.0,3500,1,1,1,1,3,0.531471944769137,9160,18280,34923,47156,111198,0,103.0,4.8,0
1.25,22,199,1,13614.0,10876,0,0,0,0,3,0.430021378940745,28918,47552,106808,259146,400580,0,5.0,4.0,0
3.5,23,289,4,5912.36,1746,0,0,0,0,3,0.368469044285382,6647,9438,17002,29802,48983,1,91.0,4.6,0
1.25,18,159,3,24818.0,19848,0,0,0,0,3,0.443159878958902,39902,59328,94960,171852,313740,0,3.0,2.3,0
3.0,30,366,1,9678.0,3226,1,1,1,1,2,-1.82409589178866,7373,11722,20456,68656,113864,1,13.0,3.7,0
1.75,53,197,1,1211.0,692,1,1,1,1,7,0.420569111785114,1550,1825,1838,1840,1840,0,1.0,1.0,0
1.35,36,180,1,4466.4,3306,0,0,0,0,0,0.389055075249403,7270,10712,17274,22102,39552,1,3.0,5.0,0
1.99,36,308,1,15211.31,7639,0,0,0,0,2,0.410727895474358,15009,23723,38705,70880,138385,0,2.0,4.0,0
1.35,23,92,1,4113.6,3046,0,0,0,0,0,0.411429306092881,5995,9132,15034,27275,39206,1,4.0,4.0,0
0.99,33,531,1,5584.75,5613,1,1,1,2,3,0.0,11059,15359,22742,57877,104535,0,4.0,3.0,0
1.35,29,360,1,9165.55,6960,0,0,0,0,0,0.300426119452629,11705,14708,29314,51507,108455,0,3.0,5.0,0
2.0,30,324,1,5264.55,2632,1,1,1,2,3,0.528975437136271,5625,10149,22027,29904,74212,0,6.0,4.3,0
3.0,24,110,1,4080.9,1360,0,1,0,2,0,0.606289026089114,2426,4407,50766,71446,104358,0,71.0,4.7,0
0.99,33,531,1,5584.75,5613,1,1,1,2,3,0.0,11059,15359,22742,57877,104535,0,4.0,3.0,0
1.0,33,307,1,15513.5999999999,15492,1,0,1,0,3,0.0,20406,24938,33198,48475,50926,0,1.0,1.0,0
0.99,35,371,1,3688.96,3717,0,0,0,0,0,0.0,6497,8913,13970,23521,45960,1,6.0,4.2,0
5.0,22,46,1,1793.0,448,0,0,0,0,0,0.382535589019024,813,1156,1519,8180,18966,1,5.0,2.4,0
1.35,33,433,1,5661.9,4180,0,0,0,0,3,0.555272592828244,10931,18598,48101,79979,137175,1,4.0,5.0,0
5.0,38,190,1,5748.0,1638,0,0,0,0,5,0.452448917304569,2008,2402,3668,11586,28068,1,124.0,4.6,0
3.0,24,109,1,4235.3,1582,0,0,0,0,0,0.468237841425924,5295,7365,13477,23340,41553,1,71.0,4.7,0
2.2,31,96,3,0.0,0,1,0,1,0,3,0.0,0,0,0,0,0,0,4.0,4.0,0
1.99,57,138,1,2031.88,1020,1,0,1,0,5,0.31599005475374,2233,3585,6002,10615,18682,0,47.0,4.2,0
0.99,26,182,1,1653.3,1670,1,1,1,2,2,0.441014720915177,3293,4951,7814,12643,22860,1,8.0,4.1,0
1.25,33,95,1,1736.25,1382,0,0,0,0,3,0.407713655452218,2772,3892,5841,9231,18286,1,1.0,5.0,0
4.0,26,565,1,9373.8,2333,1,1,1,3,3,0.608623466319453,7000,10479,15219,27468,65853,1,5.0,4.2,0
1.25,29,360,1,6422.25,4745,0,0,0,0,3,0.319337402293083,7748,15352,26611,50459,107984,0,3.0,5.0,0
0.99,33,571,1,8536.0,8622,1,0,1,0,3,0.284505884022634,12797,16425,22482,33784,48552,1,6.0,5.0,0
1.25,22,199,1,20210.1,16164,0,0,0,0,3,0.387873279376886,33176,48850,80660,140792,294670,1,4.0,4.0,0
